deleterious	harmful
tantalize	tease; excite by exposing something desirable while keeping it out of reach; torture with disappointment; CF. Tantalus: Greek mythological figure
burlesque	give an imitation that ridicules; imitate mockingly
attrition	rubbing away by friction; gradual decrease in numbers or strength; reduction in the work force without firing employees; wearing away of opposition by means of harassment; Ex. a war of attrition
unfeigned	genuine; real
mime	pantomime(act without dialogue); mimicry; mimer; V: mimic; pantomime
palpable	tangible; (of something bad) easily perceptible; obvious; Ex. palpable blunder
multiform	having many forms
slither	slip or slide
consanguineous(consanguine)	having a common ancestor
berserk	mad with violent anger; frenzied; madly excited
ashen	ash-colored; deadly pale
yeoman	man or farmer owning small estate; middle-class farmer
miscellaneous	made up of a variety of parts
inimical	(of someone) unfriendly; hostile; (of something) harmful; detrimental; CF. enemy
pitfall	hidden danger; concealed trap
physiognomy	face (as showing the character and the mind); art of judging human character from facial features
compress	force into less space; squeeze; contract; put into fewer words; N: thick mass of cloth pressed to part of the body to stop bleeding or swelling, reduce fever, etc.
defer	give in respectfully; submit; delay till later; exempt temporarily; N. deferment; CF. show respect, comply with, courteous
fell	cut or knock down (a tree or a person); bring down (with a missile)
domicile	home; V. ADJ. domiciled: having one's domicile; Ex. He is domiciled in Britain.
egoism	excessive interest in one's self; belief that one should be interested in one's self rather than in others; selfishness; ADJ. egoistic, egoistical
petrify	turn to stone; cause to become stonelike; stun or paralyze
awful	terrible; very bad
scad	a great quantity; Ex. scads of clothes
gruel	thin liquid porridge
condole	express condolences; N. condolence: sympathy for someone who has experienced great sorrow
incriminate	accuse of or implicate in a crime; serve as evidence against; cause to seem or make guilty of a crime; Ex. incriminating evidence
casual	happening by chance; irregular; occasional; informal; showing or feeling little interest; Ex. casual reader/labor/remark
tortuous	winding; full of curves; Ex. tortuous mountain road
saline	salty
initiate	begin; originate; receive into a group; introduce to a new field or activity; Ex. initiate someone into the mysteries of a secret religion; N: one who has been initiated
hue_and_cry	outcry; loud cry or clamor; strong protest; Ex. hue and cry against the new rule
hurtle	crash; rush; move with great speed; Ex. hurtling runaway train
gerrymander	change voting district lines in order to favor a political party; N. CF. Elbridge Gerry + (sala)mander
touching	causing a feeling of pity or sympathy; pathetic; V. touch: cause to feel pity or sympathy; ADJ. touched
verdigris	green coating or patina on copper which has been exposed to the weather
satyr	half-human, half-bestial being in the court of Dionysus (resembling a goat), portrayed as wanton(unrestrained) and cunning; lecher; CF. faun; CF. goat: lecherous man
interrogate	question closely; cross-examine; cross-question
slick	make smooth or glossy; N: smooth surface; Ex. oil slick; ADJ: smooth; glossy; deftly executed; adroit; glib
depict	portray
elixir	cure-all; panacea; something invigorating
sobriety	moderation (especially regarding indulgence in alcohol); seriousness
solstice	point or time at which the sun is farthest from the equator
prevail	be widespread; triumph over; gain victory; prevail on: persuade; induce; Ex. Justice has prevailed; Ex. prevail on someone to do something
extricate	free from an entanglement or difficulty; disentangle
euphoria	feeling of exaggerated or unfounded(ungrounded; baseless) well-being; feeling of great happiness or well-being (when unreasonable); ADJ. euphoriaric
chaff	worthless products of an endeavor; husk(outer seed cover) separated from grain; Ex. separate the wheat from the chaff
parsimony	stinginess; excessive frugality; ADJ. parsimonious
rivulet	small stream; CF. rill < rivulet < river
touchstone	stone used to test the fineness of gold alloys; criterion; standard
debauch	corrupt morally; seduce from virtue; N. debauchery: wild behavior (with sex and alcohol)
assent	agree; accept; N. assessment
bigot	one who is intolerant (in matters of religion or politics)
discretion	prudence; ability to adjust actions to circumstances; freedom of action or judgment; ADJ. discreet; CF. discretionary
culpable	deserving blame; blameworthy
fulminate	thunder; explode; issue a severe denunciation
ellipsis	omission of words from a text; mark used to indicate an omission (when the meaning can be understood without them); PL. ellipses
docile	obedient; easily managed; submissive
foil	defeat; frustrate; prevent from being successful; thwart; CF. fail
parish	area in the care of a single priest and served by one main church
cunning	clever in deceiving; sly; N: cleverness in deceiving; deceit
lexicon	dictionary
parochial	narrow in scope or outlook; provincial; related to parishes
caldron(cauldron)	large kettle
vertebrate	having a backbone or spinal column; N: group of animals having a segmented spinal column
freebooter	pirate or plunderer who makes war in order to grow rich
explicit	totally clear; definite; outspoken
titillate	tickle; excite pleasantly; Ex. not to titillate the audience but to enlighten it
exuberance	overflowing abundance; joyful enthusiasm; flamboyance; lavishness; ADJ. exuberant: high-spirited and lively; growing abundantly and strongly
disseminate	distribute; spread; scatter (like seeds)
impotent	weak; ineffective; lacking in physical strength or power
gist	essence; main point; substance
anthropomorphic	having human form or characteristics
smudge	dirty mark with unclear edges made by rubbing; V.
ursine	bearlike; pertaining to a bear
mystic	of hidden meaning and spiritual power; Ex. mystic ceremonies; N. CF. mysticism
vaporize	turn into vapor (steam, gas, fog, etc.)
befuddle	confuse thoroughly
render	give; deliver; provide; represent in verbal or artistic form; depict; perform; make; translate; Ex. render the song beautifully
musty	stale (in odor or taste); spoiled by age; CF. moist
brittle	hard but easily broken; difficult; unstable; Ex. brittle situation
escapade	prank; flighty conduct; reckless adventure that disobeys rules
credential	evidence concerning one's authority; written proof of a person's position; Ex. The new ambassador presented his credentials to the court.
malapropos	inappropriate; ADV.
hummock	small hill; hillock
rivet	metal pin used for fastening metal plates together; V: fasten with a rivet; engross
entice	lure; persuade to do (something wrong); attract; tempt
inveigh	denounce; utter censure or invective; Ex. inveigh against the evils of drink
die	metal block used for shaping metal or plastic; device for stamping or impressing; mold; CF. dice
damn	condemn; criticize severely; condemn to everlasting punishment; doom; bring to ruin; N. damnation
underlying	lying below; fundamental
indicative	suggestive; implying; serving to indicate
missive	letter; written statement; CF. sent
quarantine	isolation of a person, place, or ship to prevent spread of infection; V: isolate in quarantine
penology	study of prison management and criminal rehabilitation
husband	use sparingly; conserve; save; Ex. husband one's energy; CF. house holder
amplify	increase in size or effect; expand; broaden or clarify by expanding; intensify; make stronger; Ex. amplify one's remarks with a graph
innuendo	indirect or subtle (derogatory) hint; insinuation; Ex. sexual innuendo
impunity	freedom from punishment or harm; CF. punish
ambrosia	food of the gods
circuitous	roundabout
empathy	ability to identify with another's feelings, ideas, etc.; identification with and understanding of another's feelings; V. empathize; CF. sympathy
cuisine	style of cooking; Ex. French cuisine
vagary	capricious happening; caprice; whim; CF. wander
lottery	contest in which winners are selected in a drawing of lots
hysteria	excessive or uncontrollable excitement; N. hysteric: person suffering from hysteria; CF. hysterics: attack of hysteria
retort	quick sharp reply; V.
compensatory	making up for; repaying
burgeon	grow rapidly; grow forth; send out buds; Ex. burgeoning computer industry; CF. bludgeon
odorous	having an odor
besmirch	soil; defile; make dirty
resort	turn to for help; Ex. resort to violence; N.
provident	providing for future needs; displaying foresight; thrifty; preparing for emergencies; OP. improvident
heresy	opinion contrary to popular belief; opinion contrary to accepted religion; ADJ. heretical; CF. heretic
